gender,date,racer_id,anon_category,anon_age,anon_time,anon_place
Male,2023-11-19,15dc1a73f2,Every,32.0,443.3587385408401,22.0
Male,2023-11-19,a0600b5a0d,Every,30.0,444.81945184777067,20.0
Male,2023-11-19,282ae71439,Every,31.0,446.48889863855516,24.0
Male,2023-11-19,f690cf9642,Every,41.0,446.84181215280205,26.0
Male,2023-11-19,7eb3492baf,Every,28.0,453.8381032077368,27.0
Male,2023-11-19,144dede425,Every,34.0,441.4869085932753,28.0
Male,2023-11-19,3703f81c44,Every,20.0,459.3367829037692,25.0
Male,2023-11-19,0966b2c2de,Every,47.0,463.8933113261748,27.0
Male,2023-11-19,60dafb2f05,Every,31.0,462.5285943358656,29.0
Male,2023-11-19,8c4f635439,Every,24.0,464.23205354062526,30.0
Male,2023-11-19,c25d2afa41,Every,31.0,516.2677580093456,29.0
Male,2023-11-19,206e1eef99,Every,33.0,416.7379914032116,33.0
Male,2023-11-19,57c90553f7,Every,35.0,436.2081902885503,33.0
Male,2024-09-08,bb78a0209e,Every,17.0,412.31537046159866,1.0
Male,2024-09-08,d652afa5e3,Every,18.0,421.2514046662997,4.0
Male,2024-09-08,f3998d5b25,Every,42.0,445.10345266742246,5.0
Male,2024-09-08,9cd9826a97,Every,27.0,448.0079075015177,3.0
Male,2024-09-08,3cb69d01c3,Every,35.0,454.0589108416771,6.0
Male,2024-09-08,357a7d0b68,Every,29.0,448.74532962848474,7.0
Male,2024-09-08,95b3b9ad08,Every,37.0,455.6612616633308,6.0
Male,2024-09-08,0afb4275d1,Every,14.0,454.3818341808321,8.0
Male,2024-09-08,80cedf8a34,Every,39.0,452.5892439388367,9.0
Male,2024-09-08,2c600ef384,Every,40.0,457.6417825830012,12.0
Male,2024-09-08,c95f27ecd0,Every,44.0,459.01773460343503,9.0
Male,2024-09-08,06e954a325,Every,20.0,301.4843532796928,10.0
Male,2024-09-08,574ecb516d,Every,15.0,472.5387713452477,12.0
Male,2024-09-08,0252f4a473,Every,17.0,474.63897445395344,13.0
Male,2024-09-08,dd363d9a88,Every,34.0,484.5093622776087,15.0
Male,2024-09-08,da043fbac6,Every,18.0,513.3438704819949,16.0
Male,2024-09-08,6c218a72fe,Every,39.0,547.6952996794038,18.0
Male,2024-09-08,282ae71439,Every,37.0,470.87133921221147,18.0
Male,2024-09-08,089af96b8c,Every,25.0,455.69091812312894,20.0
Male,2024-09-08,5deeaa093f,Every,35.0,,
Male,2024-09-21,f5f7d6e740,Every,26.0,332.3919360890613,2.0
Male,2024-09-21,d652afa5e3,Every,20.0,333.61916788339903,1.0
Male,2024-09-21,06e954a325,Every,16.0,335.1789224410971,1.0
Male,2024-09-21,11e1f0d2df,Every,0.0,331.83112776078445,6.0
Male,2024-09-21,bb78a0209e,Every,19.0,335.9672487057791,4.0
Male,2024-09-21,7b52b31154,Every,35.0,343.43081864081483,6.0
Male,2024-09-21,97ab530992,Every,19.0,345.734319275626,5.0
Male,2024-09-21,089af96b8c,Every,22.0,340.15317749836817,7.0
Male,2024-09-21,97416bff22,Every,55.0,346.8597511540802,10.0
Male,2024-09-21,86ad963882,Every,19.0,346.0125129132637,10.0
Male,2024-09-21,f3998d5b25,Every,36.0,351.5101385180707,9.0
Male,2024-09-21,41ad131f48,Every,18.0,352.0646411245252,13.0
Male,2024-09-21,80cedf8a34,Every,36.0,349.1859319187066,14.0
Male,2024-09-21,3cb69d01c3,Every,36.0,353.2679999350372,12.0
Male,2024-09-21,dd363d9a88,Every,31.0,355.4081826715738,13.0
Male,2024-09-21,95b3b9ad08,Every,38.0,358.7217168971728,17.0
Male,2024-09-21,357a7d0b68,Every,29.0,360.4317585129848,19.0
Male,2024-09-21,5deeaa093f,Every,34.0,363.12985357763404,19.0
Male,2024-09-21,c91b46ff08,Every,26.0,364.5405255511149,17.0
Male,2024-09-21,0afb4275d1,Every,12.0,367.53961919141625,18.0
Male,2024-09-21,c3b1f0e17c,Every,34.0,367.3394997884673,21.0
Male,2024-09-21,574ecb516d,Every,17.0,369.994133555277,20.0
Male,2024-09-21,0252f4a473,Every,12.0,377.98931011630117,25.0
Male,2024-09-21,da043fbac6,Every,18.0,397.219349249126,25.0
Male,2024-09-21,9cd9826a97,Every,25.0,353.8056724442774,25.0
Male,2024-09-21,8f4f57e863,Every,17.0,387.56962260667535,26.0
Male,2024-10-06,d652afa5e3,Every,17.0,408.9225852210695,2.0
Male,2024-10-06,8f4f57e863,Every,18.0,417.9660381920053,3.0
Male,2024-10-06,089af96b8c,Every,25.0,421.6905946958702,2.0
Male,2024-10-06,97a06cc7f2,Every,35.0,424.4610884715246,6.0
Male,2024-10-06,f3998d5b25,Every,42.0,428.7492224725187,7.0
Male,2024-10-06,777cb8e659,Every,33.0,432.762378254114,5.0
Male,2024-10-06,739d7f16a8,Every,33.0,435.5729993037256,5.0
Male,2024-10-06,9cd9826a97,Every,30.0,438.92172872408486,9.0
Male,2024-10-06,357a7d0b68,Every,28.0,439.05949640020134,8.0
Male,2024-10-06,80cedf8a34,Every,38.0,447.9782733980544,11.0
Male,2024-10-06,15dc1a73f2,Every,28.0,453.21967976220964,12.0
Male,2024-10-06,97416bff22,Every,54.0,470.9165013876113,13.0
Male,2024-10-06,c91b46ff08,Every,29.0,,13.0
Male,2024-10-20,bb78a0209e,Every,15.0,376.02045722154617,2.0
Male,2024-10-20,8f4f57e863,Every,17.0,377.2941707458201,3.0
Male,2024-10-20,b2a6aacf62,Every,39.0,380.2065288261803,3.0
Male,2024-10-20,9cd9826a97,Every,29.0,382.2655025019954,2.0
Male,2024-10-20,df58199591,Every,15.0,384.09495778530743,7.0
Male,2024-10-20,97a06cc7f2,Every,39.0,383.0224663066084,6.0
Male,2024-10-20,089af96b8c,Every,24.0,392.61464728617943,9.0
Male,2024-10-20,f3998d5b25,Every,38.0,398.05807600380695,6.0
Male,2024-10-20,2179966d27,Every,36.0,451.76687628580873,11.0
Male,2024-10-20,5deeaa093f,Every,33.0,452.8045701121807,12.0
Male,2024-10-20,15dc1a73f2,Every,28.0,459.1062684366431,12.0
Male,2024-10-20,144dede425,Every,35.0,447.59836007163096,12.0
Male,2024-10-20,75e4d0c324,Every,36.0,461.84159779576913,15.0
Male,2024-10-20,357a7d0b68,Every,32.0,466.074137071829,14.0
Male,2024-10-20,574ecb516d,Every,15.0,470.78467586213145,17.0
Male,2024-10-20,0252f4a473,Every,12.0,471.5875474922731,15.0
