gender,date,racer_id,anon_category,anon_age,anon_time,anon_place,z_fast,z_score,iforest_fast,iforest_raw,fast_outliers
Male,2024-11-17,f2f86e8382,In,10.0,481.25097922213143,27.0,False,-0.5877556444746826,True,-1.0,1
Male,2023-10-22,c0468dc2c9,Professional,55.0,500.4446904518951,11.0,False,-0.3926465217981925,True,-1.0,1
Female,2024-09-21,b9eaccca08,Professional,36.0,381.06495048617296,2.0,False,-1.8483492729737379,True,-1.0,1
Male,2024-09-21,dc605384f8,Professional,38.0,385.9878929715373,2.0,False,-1.7883194813032122,True,-1.0,1
Male,2024-09-21,4b77e67511,Professional,40.0,392.37772263943447,4.0,False,-1.7104026368723912,True,-1.0,1
Male,2024-09-21,5d15705c69,Professional,52.0,421.11855214554515,14.0,False,-1.359940283753464,True,-1.0,1
Male,2024-09-21,5d9be5d979,Professional,37.0,447.5009026982099,19.0,False,-1.0382369503987499,True,-1.0,1
Male,2024-11-03,6b36013633,Professional,37.0,495.9198049288712,16.0,False,-0.4478224528775498,True,-1.0,1
Male,2023-09-23,18b18409aa,Political,62.0,491.3722412990384,27.0,False,-0.532227385525754,True,-1.0,1
Male,2024-09-21,b6038d005f,Political,63.0,409.4652628169223,6.0,False,-1.1244981708502293,True,-1.0,1
Male,2024-09-21,5079b132a5,Political,62.0,448.23832878171464,21.0,False,-0.8441294568044618,True,-1.0,1
Male,2024-09-21,c6e80d0897,Political,47.0,429.2047662932229,28.0,False,-0.9817614780496706,True,-1.0,1
Male,2024-10-20,c3b3d23a65,Interesting,83.0,480.64356154594566,5.0,False,-0.8408449433901318,True,-1.0,1
Male,2024-11-03,c3b3d23a65,Interesting,84.0,508.77560879962306,3.0,False,-0.612267355431748,True,-1.0,1
Male,2024-11-17,c3b3d23a65,Interesting,82.0,550.3935776916661,9.0,False,-0.27411439915066094,True,-1.0,1
Male,2023-10-22,e084b84a29,Project,24.0,504.2538109388525,2.0,False,-0.7110383201587265,True,-1.0,1
Male,2024-09-21,554746be5d,Project,64.0,539.9987175115635,12.0,False,-0.385614229574169,True,-1.0,1
Male,2024-10-20,a04a400c34,Project,27.0,441.2233972877128,4.0,False,-1.2848715458762587,True,-1.0,1
Male,2024-11-17,f03e13dbf0,Project,25.0,559.1580643137715,15.0,False,-0.21118621710699845,True,-1.0,1
Male,2024-11-17,f936bbed9a,Project,23.0,555.9773688102982,30.0,False,-0.24014348797127338,True,-1.0,1
Male,2023-09-23,fc1957f176,Operation,12.0,346.5561150795208,1.0,False,-1.8004879238240157,True,-1.0,1
Male,2023-09-23,574ecb516d,Operation,19.0,357.1517793187192,4.0,False,-1.6998747308868056,True,-1.0,1
Male,2023-09-23,400405904b,Care,12.0,463.3495595204244,32.0,False,-0.518086133268712,True,-1.0,1
Male,2023-09-23,ff1e632a98,Care,63.0,472.2122893002852,33.0,False,-0.43676720159587984,True,-1.0,1
Male,2024-09-21,67ae279f22,Care,30.0,349.13689582855943,1.0,False,-1.5660309567739614,True,-1.0,1
Male,2024-09-21,db5328b95c,Care,17.0,392.5653994244556,19.0,False,-1.1675578447320074,True,-1.0,1
Male,2024-09-21,ff1e632a98,Care,61.0,435.1976565827916,31.0,False,-0.7763905979549328,True,-1.0,1
Male,2024-10-20,f5ef3cee12,Care,17.0,471.35173655701726,32.0,False,-0.4446631017833921,True,-1.0,1
Female,2023-09-23,44d97d6b09,Such,13.0,390.669280762274,2.0,False,-1.900860795127057,True,-1.0,1
Female,2023-09-23,bc9d260bc5,Such,17.0,417.6066285513592,1.0,False,-1.7228485035612844,True,-1.0,1
Female,2023-09-23,c12dff7efb,Such,9.0,442.68643386480323,6.0,False,-1.557111562759763,True,-1.0,1
Male,2023-09-23,0252f4a473,Themselves,13.0,354.68474302044785,1.0,False,-1.9159679918886148,True,-1.0,1
Male,2023-09-23,1f63046b3d,Themselves,15.0,376.6487622352588,2.0,False,-1.7283323732367981,True,-1.0,1
Male,2023-09-23,7b1b55f59b,Themselves,8.0,414.76334821436575,8.0,False,-1.402724666837369,True,-1.0,1
Male,2024-09-21,0fb0a52855,Themselves,8.0,462.48205598913984,7.0,False,-0.9950702586429326,True,-1.0,1
Male,2024-10-20,1f63046b3d,Themselves,17.0,466.75153166496636,2.0,False,-0.9585967106134178,True,-1.0,1
Nonbinary,2024-09-21,86c665ea82,Note,13.0,409.89540194471704,1.0,False,-1.565591894225392,True,-1.0,1
Nonbinary,2024-11-03,5f26cfac65,Note,42.0,431.81801483672484,2.0,False,-1.3748344712280551,True,-1.0,1
Female,2023-09-23,04e4ab8714,Officer,51.0,426.27242642953814,1.0,False,-1.5504710700418987,True,-1.0,1
Female,2024-10-06,38e31e3d3b,Officer,18.0,527.2723978054644,3.0,False,-0.5360215111088646,True,-1.0,1
Female,2024-10-20,ce1a130a2e,Officer,16.0,493.9414902249843,5.0,False,-0.8707990762232553,True,-1.0,1
